=====================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 03/08/26
=====================================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
03/08/26       SANTANDER  CALL  Sep-26             13,50   12.57  9.000              9.000           
03/08/26       SANTANDER  CALL  Sep-26             13,00   12.57  4.500              4.510           
03/08/26       BBVA       CALL  Sep-26             26,00   24.68  3.420              3.420           
03/08/26       INDITEX    PUT   Mar-27             50,00   57.76  3.000              3.000           
03/08/26       IBERDROLA  CALL  Sep-26             22,00   20.65  2.043              2.043           
03/08/26       INDITEX    CALL  Sep-26             63,28   57.76  1.888              1.888           
03/08/26       BBVA       CALL  Sep-26             25,00   24.68  1.710              1.710           
03/08/26       INDITEX    CALL  Sep-26             61,30   57.76  944                944             
03/08/26       FERROVIAL  CALL  Sep-26             62,00   57.28  452                452             
03/08/26       BBVA       CALL  Sep-26             25,00   24.68  365                395             
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 04/08/2026 05:43
