======================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 06/08/26
======================================================================================================

FECHA_BOLETIN  ACCION      TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ----------  ----  -----------------  ------  -----  -----------------  ----------------
06/08/26       IBERDROLA   PUT   Sep-26             19,00   20.72  10.000             20.000          
06/08/26       BBVA        CALL  Oct-26             27,00   24.59  7.008              7.008           
06/08/26       BBVA        PUT   Mar-27             19,50   24.59  3.500              3.810           
06/08/26       SANTANDER   CALL  Sep-26             13,50   12.86  553                541             
06/08/26       TELEFONICA  CALL  Dic-26             3,70    3.70   510                1.558           
06/08/26       INDITEX     CALL  Dic-27             63,85   58.80  500                500             
06/08/26       GRIFOLS     CALL  Mar-27             9,00    10.11  105                172             
06/08/26       SANTANDER   CALL  Dic-26             11,50   12.86  86                 17              
06/08/26       B.SABADELL  CALL  Jun-27             3,33    3.44   80                 80              
06/08/26       BANKINTER   CALL  Dic-26             17,00   16.44  70                 70              
-------------  ----------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 07/08/2026 04:51
